date,open,high,low,close,volume
2020-08-17,197.2,199.63,196.67,196.72,1504268
2020-08-18,196.34,197.66,194.61,196.42,1172346
2020-08-19,195.08,199.14,194.86,197.57,1290554
2020-08-20,196.86,198.08,196.29,197.01,1371292
2020-08-21,197.06,197.06,193.18,193.64,1179494
2020-08-24,193.44,194.14,188.23,190.17,2116913
2020-08-25,191.63,193.81,189.61,192.37,2126845
2020-08-26,191.98,197.27,190.23,195.44,1504943
2020-08-27,196.37,200.46,195.4,199.58,948741
2020-08-28,201.0,201.23,198.61,200.11,1280424
2020-08-31,199.7,202.23,199.7,199.99,1465101
2020-09-01,199.32,202.97,198.46,202.65,1441732
2020-09-02,202.64,210.31,202.5,209.73,1805486
2020-09-03,210.48,212.1,202.81,203.85,2032020
2020-09-04,206.07,206.5,200.12,202.74,1093447
2020-09-08,201.87,202.07,197.84,198.0,1679671
2020-09-09,200.14,205.6,199.35,203.63,1155259
2020-09-10,204.36,206.4,201.76,202.05,1594490
2020-09-11,202.26,203.07,199.5,201.54,1189209
2020-09-14,203.33,204.42,201.68,201.96,1053616
2020-09-15,202.28,203.92,201.68,202.0,1013414
2020-09-16,203.33,204.56,202.27,202.53,1135395
2020-09-17,200.0,203.14,199.04,201.67,1202370
2020-09-18,201.27,204.03,200.86,201.0,1459741
2020-09-21,198.18,199.96,196.5,199.2,1724806
2020-09-22,198.08,201.3,195.94,199.97,1936552
2020-09-23,200.78,205.23,200.09,200.41,2258639
2020-09-24,200.42,201.08,195.22,195.68,1975640
2020-09-25,194.34,197.87,192.19,196.36,1217804
2020-09-28,198.76,204.9,198.52,203.43,1568818
2020-09-29,202.74,205.43,202.2,205.09,1340319
2020-09-30,205.96,208.235,203.66,206.3,1583929
2020-10-01,206.72,207.71,204.27,206.18,1391943
2020-10-02,204.86,207.92,204.38,205.52,877428
2020-10-05,207.06,207.9,204.74,206.51,907660
2020-10-06,207.87,209.38,204.7719,205.65,986720
2020-10-07,206.67,209.115,206.39,208.37,1084588
2020-10-08,210.0,212.95,207.94,208.07,894029
2020-10-09,209.39,210.51,208.32,209.19,987387
2020-10-12,209.81,214.88,208.8,214.52,1848040
2020-10-13,213.63,216.49,210.12,210.89,1279267
2020-10-14,211.46,214.42,209.06,210.09,1176332
2020-10-15,208.53,213.37,208.08,212.78,1058523
2020-10-16,213.36,215.26,212.685,212.88,1706050
2020-10-19,212.5,214.6,208.625,209.19,856622
2020-10-20,210.66,211.54,206.145,206.36,1383457
2020-10-21,206.44,209.84,206.105,206.44,863610
2020-10-22,206.51,207.74,205.23,207.47,767367
2020-10-23,207.61,208.46,204.87,207.31,778878
2020-10-26,205.52,206.41,200.2,202.17,1389740
2020-10-27,202.79,203.2,199.28,199.48,1067286
2020-10-28,196.45,196.95,192.43,194.7,1650322
2020-10-29,194.73,194.73,186.4,186.8,1866969
2020-10-30,187.15,188.61,180.56,184.01,3079695
2020-11-02,186.06,186.06,180.31,180.64,2451066
2020-11-03,182.83,184.32,179.82,179.96,2302612
2020-11-04,179.52,186.635,179.52,183.48,3127809
2020-11-05,186.15,188.025,184.2,185.38,1600435
2020-11-06,186.46,191.64,184.67,190.35,1486828
2020-11-09,195.0,204.3,191.145,192.91,2548256
2020-11-10,194.14,201.23,192.51,200.08,2425416
2020-11-11,201.47,202.69,198.93,201.42,1835895
2020-11-12,199.87,201.74,198.81,199.96,1663862
2020-11-13,200.73,204.79,200.03,204.44,1519929
2020-11-16,206.86,208.31,204.45,208.03,1913928
2020-11-17,206.49,209.41,202.68,207.19,1680438
2020-11-18,206.2,208.35,203.36,203.36,1389809
2020-11-19,202.82,204.8,201.22,202.92,1338017
2020-11-20,202.9,203.57,197.86,198.67,1796592
2020-11-23,199.87,203.38,198.83,203.18,1448473
2020-11-24,205.61,210.11,204.62,207.93,1650808
2020-11-25,207.5,208.9,203.6,208.07,1030830
2020-11-27,207.67,209.58,206.08,206.58,632434
2020-11-30,205.43,207.3,204.44,204.89,2077759
2020-12-01,207.48,210.94,207.435,210.69,1690319
2020-12-02,210.46,213.2,208.62,209.08,1326751
2020-12-03,208.5,210.9,207.62,210.18,1288460
2020-12-04,210.31,212.715,209.51,211.6,1094358
2020-12-07,211.7,214.0,206.83,207.2,1450438
2020-12-08,206.63,210.61,204.8,209.59,1497111
2020-12-09,209.9,211.95,205.1,207.05,1578365
2020-12-10,205.78,207.1946,204.94,206.24,1685031
2020-12-11,204.2,207.7,203.67,204.11,1453281
2020-12-14,206.31,208.07,203.87,203.96,2202187
2020-12-15,204.63,209.163,203.4,208.03,1794406
2020-12-16,209.12,212.22,207.66,209.21,1330276
2020-12-17,209.765,213.62,209.49,211.3,2148473
2020-12-18,211.36,211.83,204.53,205.49,3485420
2020-12-21,205.69,209.45,201.36,209.15,2415492
2020-12-22,208.41,210.85,206.14,209.23,2259410
2020-12-23,210.37,211.66,207.1397,207.9,1051311
2020-12-24,209.55,210.99,208.0,210.61,429996
2020-12-28,211.49,212.4,206.72,206.83,1278984
2020-12-29,208.15,208.95,206.15,206.91,655657
2020-12-30,207.74,209.15,206.54,206.71,734561
2020-12-31,207.4,211.55,206.18,211.27,1024592
2021-01-04,211.04,212.0,203.57,204.55,1702178
2021-01-05,205.25,206.47,202.07,204.3,1546650
2021-01-06,205.27,208.0,203.01,206.78,1732136
2021-01-07,207.63,208.59,205.37,206.56,1356319
2021-01-08,206.0,208.17,203.57,205.22,1294490
2021-01-11,204.64,205.795,201.69,202.13,1187027
2021-01-12,201.63,204.7,200.65,202.48,1835453
2021-01-13,202.33,207.56,201.56,206.9,2229709
2021-01-14,206.74,207.9,203.54,206.62,1404948
2021-01-15,206.32,208.97,205.82,207.93,1783163
